fold,model,augmented,accuracy,f1_macro
0,cnn,False,0.605,0.5827873311370764
0,cnn,True,0.765,0.7632424602111012
0,gbm,False,0.7,0.6959639725389596
0,gbm,True,0.715,0.7082400809603326
1,cnn,False,0.605,0.5906550673109258
1,cnn,True,0.77,0.7647954064556483
1,gbm,False,0.72,0.7251240594065325
1,gbm,True,0.71,0.7014172774580036
2,cnn,False,0.75,0.7327332139155986
2,cnn,True,0.785,0.7701993630470937
2,gbm,False,0.75,0.7501566611964557
2,gbm,True,0.76,0.7556934432753594
3,cnn,False,0.715,0.7069461442847382
3,cnn,True,0.755,0.7509296159685583
3,gbm,False,0.715,0.7122984724582582
3,gbm,True,0.77,0.767647665988562
4,cnn,False,0.6934673366834171,0.6845140215697748
4,cnn,True,0.7185929648241206,0.7159839707445114
4,gbm,False,0.7035175879396985,0.7004710206815471
4,gbm,True,0.7035175879396985,0.700718932789619
