model,metric,mean,ci_low,ci_high,n_folds
cnn,valence_mae,0.7306471347808838,0.6256190113763435,0.8356752581854242,5
cnn,valence_rmse,0.9195423474391469,0.8057144387060042,1.0333702561722895,5
cnn,valence_r2,0.38183270692825316,0.24571976481778313,0.5179456490387232,5
cnn,arousal_mae,0.7748815655708313,0.6548433720820382,0.8949197590596244,5
cnn,arousal_rmse,0.9820028568078859,0.8394293139957346,1.1245763996200373,5
cnn,arousal_r2,0.4042634129524231,0.21405442893230178,0.5944723969725444,5
gbm,valence_mae,0.7288112759590148,0.7059914451747404,0.7516311067432893,5
gbm,valence_rmse,0.9108505764483438,0.8934267872136894,0.9282743656829981,5
gbm,valence_r2,0.39504950046539306,0.3473074707355696,0.4427915301952165,5
gbm,arousal_mae,0.7602811694145203,0.7185954579705862,0.8019668808584544,5
gbm,arousal_rmse,0.9522960908037339,0.9068635522868811,0.9977286293205867,5
gbm,arousal_r2,0.4460582971572876,0.39459647684474425,0.497520117469831,5
