method,distance_metric,k,precision_at_k,ci_low,ci_high,n_queries,n_bootstrap
classification_embedding,cosine,1,0.9329329329329329,0.9179179179179179,0.9479729729729728,999,2000
classification_embedding,cosine,5,0.9105105105105105,0.8972972972972973,0.9231231231231232,999,2000
classification_embedding,cosine,10,0.8898898898898899,0.8763738738738739,0.9030030030030031,999,2000
classification_embedding,cosine,20,0.8617117117117116,0.8475475475475476,0.8750262762762764,999,2000
classification_embedding,euclidean,1,0.9329329329329329,0.9179179179179179,0.9479479479479479,999,2000
classification_embedding,euclidean,5,0.9105105105105105,0.8966966966966966,0.9229229229229229,999,2000
classification_embedding,euclidean,10,0.8898898898898899,0.8766766766766766,0.9033033033033033,999,2000
classification_embedding,euclidean,20,0.8617117117117116,0.846395145145145,0.875528028028028,999,2000
triplet_embedding,cosine,1,0.7347347347347347,0.7086836836836837,0.7627627627627628,999,2000
triplet_embedding,cosine,5,0.6982982982982983,0.6778778778778779,0.7183183183183183,999,2000
triplet_embedding,cosine,10,0.6769769769769769,0.6561561561561562,0.6962962962962962,999,2000
triplet_embedding,cosine,20,0.6539039039039038,0.6338826326326326,0.6721258758758759,999,2000
triplet_embedding,euclidean,1,0.7347347347347347,0.7066816816816817,0.7607857857857856,999,2000
triplet_embedding,euclidean,5,0.6982982982982983,0.6774774774774774,0.7193193193193194,999,2000
triplet_embedding,euclidean,10,0.6769769769769769,0.6563563563563564,0.6969019019019019,999,2000
triplet_embedding,euclidean,20,0.6539039039039038,0.6351839339339339,0.6724249249249249,999,2000
engineered_features,cosine,1,0.6576576576576577,0.6276276276276276,0.6876876876876877,999,2000
engineered_features,cosine,5,0.5747747747747748,0.5547497497497498,0.596996996996997,999,2000
engineered_features,cosine,10,0.5225225225225224,0.5028003003003003,0.5411436436436435,999,2000
engineered_features,cosine,20,0.4612112112112112,0.44399274274274275,0.47757882882882885,999,2000
engineered_features,euclidean,1,0.6506506506506506,0.6206206206206206,0.6786786786786787,999,2000
engineered_features,euclidean,5,0.5549549549549551,0.5349299299299299,0.5755805805805806,999,2000
engineered_features,euclidean,10,0.5009009009009009,0.4832832832832833,0.5174224224224225,999,2000
engineered_features,euclidean,20,0.4401401401401402,0.4257257257257258,0.4552552552552553,999,2000
metadata_genre,label_exact_match,1,1.0,1.0,1.0,999,2000
metadata_genre,label_exact_match,5,1.0,1.0,1.0,999,2000
metadata_genre,label_exact_match,10,1.0,1.0,1.0,999,2000
metadata_genre,label_exact_match,20,1.0,1.0,1.0,999,2000
