method,distance_metric,k,precision_at_k,ci_low,ci_high,n_queries,n_bootstrap
classification_embedding,cosine,1,0.9329329329329329,0.9179179179179179,0.9479729729729728,999,2000
classification_embedding,cosine,5,0.9105105105105105,0.8972972972972973,0.9231231231231232,999,2000
classification_embedding,cosine,10,0.8898898898898899,0.8763738738738739,0.9030030030030031,999,2000
classification_embedding,cosine,20,0.8617117117117116,0.8475475475475476,0.8750262762762764,999,2000
triplet_embedding,cosine,1,0.7347347347347347,0.7086836836836837,0.7627627627627628,999,2000
triplet_embedding,cosine,5,0.6982982982982983,0.6778778778778779,0.7183183183183183,999,2000
triplet_embedding,cosine,10,0.6769769769769769,0.6561561561561562,0.6962962962962962,999,2000
triplet_embedding,cosine,20,0.6539039039039038,0.6338826326326326,0.6721258758758759,999,2000
engineered_features,cosine,1,0.6576576576576577,0.6276276276276276,0.6876876876876877,999,2000
engineered_features,cosine,5,0.5747747747747748,0.5547497497497498,0.596996996996997,999,2000
engineered_features,cosine,10,0.5225225225225224,0.5028003003003003,0.5411436436436435,999,2000
engineered_features,cosine,20,0.4612112112112112,0.44399274274274275,0.47757882882882885,999,2000
metadata_genre,label_exact_match,1,1.0,1.0,1.0,999,2000
metadata_genre,label_exact_match,5,1.0,1.0,1.0,999,2000
metadata_genre,label_exact_match,10,1.0,1.0,1.0,999,2000
metadata_genre,label_exact_match,20,1.0,1.0,1.0,999,2000
